,review_text,app_name,major_class,small_class_1,key_word_1,small_class_2,key_word_2,,
0,"impossible to log in, never ending security checks, mails, sms. very bad",Uber,Problem Discovery ,Feature or Functionality,login,,,,
1,"Pretty good, but I prefer a pedicab.",Uber,Other,Content,pedicab,App ,Pretty good,,
2,"can never book a ride, always says error has occurred. contacted customer support but no solution so far, terrible service",Uber,Problem Discovery,Company,customer support,Feature or Functionality,book a ride,,
3,"worst most worst worst than worst app is this i am trying to login after i changed my phone but it is not allowing me to.i tried with forget password then also it is always taking me back to login page,such a garbage",Uber,Problem Discovery,Feature or Functionality,login,App ,app,,
4,Drivers don't come for pick up and keep on going far away from your location so that you cancel the booking qnd uber charges fees for that,Uber,Information Giving ,Company ,charges fees,,,,
5,Refused to verify my payment and left me stranded in Sydney. Garbage. Lyft can't get to Oz soon enough!,Uber,Problem Discovery,Feature or Funtionality,verify,,,,
6,"expensive, lyft is way cheaper and more convenient.",Uber,Information Givin,Pricing,expensive,,Information Giving,,App 
7,Don't.use it so don't know nothing.,Uber,Other ,App ,Don't.use,,Information Seeking,,GUI
8,need to be able to call someone when there is an issue like now.,Uber,Feature Request,Feature or Funtionality,call someone,,Feature Request,,Contents 
9,"Really a Bad app if u are choosing a electronic payment options, almost all drivers declined it Pathetic experience",Uber,Problem Discovery ,App ,app,Contents ,Problem Discovery,,Pricing
10,Fare to Delhi airport was shown as Rs 215 all inclusive. But actually got charged Rs. 365. Very misleading!,Uber,Problem Discovery,Feature or Funtionality,Fare misleading,Pricing,Other,,Feature or Funtionality
11,Did not service area and should have said so. Will never use service Will use Lyft instead.,Uber,Problem Discovery,Feature or Funtionality,service area,,,,Improvement
12,driver never arrived at the pickup location despite calling him and I was charged the waiting feed without benefitting of the actual service... very dissapointing...,Uber,Problem Discovery,Improvement,never arrived,,,,Updates/Versions
13,"the app is crappy. there is no way to soeak to customer service and when calling I get a message that my number is not connected to a premium account and I should use the help feature in the app which sucks! the map does not work. said someone had picked me up when they had not, charged my card for the ride and now it will take 5 days for the refund. crappy uber!",Uber,Problem Discovery ,Feature or Funtionality,map,App ,app,,Resources 
14,"not bad, but he was creepy",Uber,Other ,App ,not bad,,,,Security 
15,uber auto drivers asking CASH only . paytm not accepting this is problem . when we book auto itscancelling auto and they are calling again asking cash mode direct,Uber,Problem Discovery ,Contents ,cash mode,,,,Download
16,uber auto drivers not acceptting trip problem. they are asking CASH only . paytm not accepting this is problem . when we book auto itscancelling auto and they are calling again asking cash mode direct,Uber,Problem Discovery ,Contents ,cash mode,,,,Model 
17,Trying to use to rent scooter in Venice. No option although everything says to use the app to rent.,Uber,Problem Discovery ,Feature or Funtionality,option,,,,Company 
18,"app doest work, lost a customer",Uber,Problem Discovery ,App ,app,,,,
19,unable to login to your app,Uber,Problem Discovery ,App ,app,Feature or Funtionality,login,,
20,worst app again n again i have to enter my no otp name unable to login,Uber,Problem Discovery ,App ,app,Feature or Funtionality,login,,
21,this app is best app but my 2triq and 4triq is very bad my. phon show 109 but drivers phon show 151 it so diffrent.,Uber,Problem Discovery ,App ,app,Pricing,109,,
22,"The app has a lot of errors that allows uber & the drivers to abuse and make false charges to the customer. The app will say 6min till your ride is there and then the driver will already be there, wait less than a min and cancel your ride which charges you, then uber ignores disputes to get your money back. I have literally tried to wave down drivers, messaged them, and even had a driver cancel right as i was getting in the car and almost run over my feet. When i reported it uber did nothing.",Uber,Problem Discovery ,App ,app,Pricing,false charges,,
23,I have forgotten password and i am not able to get it back please help,Uber,Information Seeking,Feature or Funtionality,password,,,,
24,after booking the cab if driver cancel the booking. amounts was automatically ditect,Uber,Information Giving ,Feature or Funtionality,automatically ditect,,,,
25,Now I cant login again,Uber,Problem Discovery ,Feature or Funtionality,login,,,,
26,i need to sign up,Uber,Other,Feature or Funtionality,sign up,,,,
27,"1st there is no one to speak to. That is a problem when the person that was supposed to pick you up don't. But you then get charged a $5 dollar fee because they didn't pick you up. Im beyond upset. Update: Are customers being charged extra to unload the trunk? I was quoted one price, then charged something seperate. Each time I start to use this company again, something always happen.",Uber,Problem Discovery ,Company ,company,Pricing,price,,
28,"I've been a customer for the past 4 years loyal to them they have been doing many updates on their service first started off with u have to walk to your pool ride sometimes they ask you to walk almost three blocks and you not even aware of the area you in if you would have baby in the car they don't care, they leaving you far off and at the end they still pass the same area were u originally wanted to be dropped off at top it off now they want you to fill a cash of 25$ to get a ride for 8$",Uber,Problem Discovery ,Contents ,leaving you far off,,,,
29,Driver Alvin was very professional and courteous. been trying to set up a ride for 12/29 but having trouble,Uber,Other,Contents ,Driver ,,,,
30,"I was expecting high expectations from uber customer service 24/7 but i didn't, i contacted one agent but never respond within a hour, and frustrated with a outstanding payment i have to deal with",Uber,Problem Discovery ,Contents ,customer service,,,,
31,uber sucks sick I have plenty money in the bank and it rejected my card. thanks uber I will now drive drunk.,Uber,Problem Discovery,Feature or Funtionality,card,,,,
32,I have not used it for long time but cant get it to work on my new phone because I dont have my old expired cc card info. Lame.,Uber,Problem Discovery ,Feature or Funtionality,work,,,,
33,why is it so heavy but cannot be moved to sd card?,Uber,Information Seeking,Resources ,heavy,,,,
34,Best service for ride.,Uber,Other ,App ,Best service,,,,
35,can i pay for others sldv jvh c. vvhn,Uber,Information Seeking,Feature or Funtionality,pay,,,,
36,Worst app ever ...i will never use it now,Uber,Other,App ,app,,,,
37,the app will not let me sign in. completely annoying. cant use the app to get a ride. so now I'm stuck AND they want a rating.,Uber,Problem Discovery ,Feature or Funtionality,login,,,,
38,Bc kitne security check du school mai hu kya,Uber,Other,Security ,security,,,,
39,"Left me stranded, could not call for an Uber. On their own the app and the website suddenly stopped recognizing my registered cell phone number. I'm locked out of the app. Using Lyft while Uber fixes this problem.",Uber,Problem Discovery ,Feature or Funtionality,registered,,,,
40,freeze too much in my s9 plus. sometimes driver doesn't show on map or his location get freezes. trying alternative because of poor support.,Uber,Problem Discovery ,Feature or Funtionality,location get freezes,,,,
41,sign me up to get rides,Uber,Other,Contents ,rides,,,,
42,"Left a bag in an Uber, couldn't reach driver b/c my phone number ""isn't associated with my account or Caller ID cannot be verified."" No response from chat support and I had a flight to catch so I wound up leaving the bag behind. Will be taking taxis in the future until support actually works. Update: After posting this my driver did find me on his own recognizance and return the bag, but I am still annoyed that a mysterious technical issue left me uncertain if I would get it back. Rider beware.",Uber,Problem Discovery ,Feature or Funtionality,associated account ,,,,
43,"I really loved the app and used it often, I mistakenly logged out and I can't log in again, I trued with my other number but I still can't log in. can I get any help ?",Uber,Information Seeking,Feature or Funtionality,login,,,,
44,the security feature where they make you pick out buses and traffic lights in order to sign up is ridiculously tedious. I couldn't even sign up because of it. I'm using lyft exclusively from now on,Uber,Feature Request ,Feature or Funtionality,sign up,,,,
45,Useless when trying to schedule a ride in Advance with uber SELECT or van. Also cannot see an option to request baby seat for my trip. Found some info o about uber family profiles but it's nowhere to be found in the app. Terrible experience and will pick regular taxi or my taxi instead,Uber,Problem Discovery ,Feature or Funtionality,option,,,,
46,"Originally worked fine with credit card, then the app began asking to scan credit card and it wont work - I have a Samsung Note 9 and have scanned credit cards with other programs so now I have Uber credit I can't use and can not use the service. Uber customer support has yet to get back to me to respond to the technical issue.",Uber,Problem Discovery ,Feature or Funtionality,credit card,Model ,Samsung Note 9,,
