,review_text,app_name,major_class,small_class,word_1,small_class_2,word_2,small_class_3,
0,this app is stupid I couldn't even log in. seat geek is better.,Bandsintown Concerts,Problem Discovery,App,app,Feature or Functionality,"log in,seat geek",,
1,Fantastic way to keep up to date with what 'Gigs' are coming up!!!,Bandsintown Concerts,Information Giving,Contents,way to,app,Fantastic,,
2,went to try to update and told me to try again later. t,Bandsintown Concerts,Problem Discovery,Updates/ Versions,update,,,,
3,So much better showing past events! Thanks,Bandsintown Concerts,Information Giving,Feature or Functionality,showing,Contents,past events,,
4,will not allow me to change location,Bandsintown Concerts,Information Giving,Feature or Functionality,change location,,,,
5,"Can't log in because there is no keyboard pop up when clicking the login link, so the app is kinda useless.",Bandsintown Concerts,Problem Discovery/Problem Discovery,Feature or Functionality,log in,GUI,keyboard,,
6,"Works great. Free. I continue to find concerts I am interested in. I switch locations between VA, NC & Michigan quickly & easily. Love it, use it exclusively to find live music. Still using Bands In Town and I've found numerous concerts, that I've attended, in various states. Absolutely a great app with no hassles.",Bandsintown Concerts,Information Giving,Pricing,free,Contents,concerts/find live music,Feature or Functionality,switch location
7,Philosophical Review: you should not need to download an app to buy concert tickets if you don't want to.,Bandsintown Concerts,Information Giving,Contents,concert tickets,Download,download,,
8,"Magically tracking bands and artists without even knowing who they are. Account hasn't been hacked, please fix this! Also, recommendations are way off when it suggests artists based on what I'm currently tracking.",Bandsintown Concerts,Problem Discovery,Feature or Functionality,tracking/recommendations,Improvement,please fix,,
9,Its okay but Last.FM connections stopped working several versions ago and still isn't fixed.,Bandsintown Concerts,Problem Discovery,Updates/ Versions,version,Feature or Functionality,connecyion stop,,
10,"was fine. since it decided I was in Stockton on Tees and won't let me change it, useless. uninstalled.",Bandsintown Concerts,Information Giving,Feature or Functionality,change,,,,
11,"DO NOT USE. I lost 100$. The app uses your location and bands you like to suggest concerts that are nearby to you. And upcoming concert I wanted to attend was for October 6th. I pressed on that concert and pressed tickets to where it redirected me to the ticket site. I chose my 3 tickets and checked out. My email i recieved my 3 tickets for the 5th of October. I checked the app again to make sure, selected my October 6th concert and it took me to October 5th tickets. I tried to contact the suppor",Bandsintown Concerts,Information Giving,Pricing,100$,Feature or Functionality, suggest concerts ,,
12,"Doesn't do anything when I try to change my location, and for some reason it thinks I'm in Canterbury, 70 miles away.",Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality,change my location,,,,
13,Really nice to find tickets and concerts in your area.,Bandsintown Concerts,Information Giving,"Contents/Feature or
Functionality",find tickets,Contents,area,,
14,This app is an absolute dumpster fire and I hate that I have to use it to gwt tickets for one upcoming concert I want to attend. It gates content through a sign up even though I'm not trying to buy immediately but rather scope out different venues. Abysmal content model.,Bandsintown Concerts,Information Giving,Contents,concert,,,,
15,I couldn't change my location or radius once I set it up the first time so was useless,Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality,change my location,,,,
16,Good app running slowly DIS WEEK,Bandsintown Concerts,Information Giving/Problem Discovery,App,running slowly,,,,
17,"I was directed to download this app when trying to buy concert tickets (which was irritating when tix to a popular show are going on sale in 5 min). I accidentally tapped the Cake page and couldn't navigate away from it to the artist I wanted. I closed and reopened the app, finally got to the artist I wanted but there was an error when I clicked the link to buy tickets. Finally just went to livenation thru my browser. Waste of time and data!",Bandsintown Concerts,Information Giving/Problem Discovery,Contents,concert tickets,GUI,navigate,,
18,Forces the screen to wake for notifications. No way to turn it off. Please give us the option to disable this.,Bandsintown Concerts,Feature Request,GUI,"option,disable",,,,
19,I love listening to all kinds k Of music,Bandsintown Concerts,Other,Contents,music,,,,
20,"Just wanted a way to buy tickets not wanting to tell it my favorite genre and bands. When I finally got to ticket buying, it told me they were available thru ticketmaster, rendering this app worthless.",Bandsintown Concerts,Information Giving,Feature or Functionality,buy tickets,,,,
21,".... sometimes. The notifications seems to be working only now and then, so better open the app to see what's coming up.",Bandsintown Concerts,Problem Discovery,Feature or Functionality,"notifications,now and then",,,,
22,Worst app ive got in a long time. Its a pong game between email confirmation and actually getting somewhere,Bandsintown Concerts,Other,App,app,,,,
23,This app is good at directing me to concerts.,Bandsintown Concerts,Information Giving,Feature or Functionality, directing me to concerts,,,,
24,"I used to love it, now it just changed my location to Brussels and I can't change it back. It says London not found. So either I move to Brussels or uninstall the app.",Bandsintown Concerts,Problem Discovery,Feature or Functionality,changed my location,,,,
25,Locations hard to find. Searches mediocre. Otherwise ok,Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality,"Locations,hard find",,,,
26,"If your reading this you already know that there's a lot of good live music out there you and I don't want to miss. This app is as much for me as it is for you. Whether your hiding with the herd or floating with the flock, you will be sure to find consistent good reason to 'come out and play' with bands in town. Doesn't get much better when it comes to phone apps imho.",Bandsintown Concerts,Information Giving,App,app,Contents,live music,,
27,The newest update handled the recent problems I'd been experiencing with the app. Thank you very much.,Bandsintown Concerts,Information Giving,Updates/ Versions,update,,,,
28,Good Concert app. Very.,Bandsintown Concerts,Other,App,app,,,,
29,Good app for any concert or any show near yu...must download..,Bandsintown Concerts,Information Giving,Contents,concert,,,,
30,"Can't change location, over the years and different phones I've used this app with, it's always given the same error.",Bandsintown Concerts,Problem Discovery,Feature or Functionality,change location,,,,
31,"App has been changed to be chained to a 150mi radius. Not what it used to be. It may fit a specific vision, just not for me.",Bandsintown Concerts,Information Giving,Feature or Functionality,chained,Feature or Functionality,show near,,
32,It was my favorite ticket app. Now its not doing anything!!,Bandsintown Concerts,Other,App,app,Feature or Functionality,doing anything,,
33,No working method to turn off push notifications,Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality, push notifications,,,,
34,App is broken. Won't load artists,Bandsintown Concerts,Problem Discovery,Feature or Functionality, load artists,,,,
35,App no longer functions Spinning wheel of refreshment and nothing else happens,Bandsintown Concerts,Information Giving,Feature or Functionality,"functions,spining wheel",,,,
36,"The app used to be quite decent. Lately though, it doesn't show any concerts, but keeps loading without end. Please look into it and try to fix it",Bandsintown Concerts,Problem Discovery,Feature or Functionality,"show any concerts|loading,fix",,,,
37,app won't work on my phone after years of no probs,Bandsintown Concerts,Problem Discovery,Model,my phone,Feature or Functionality,not work,,
38,"The app no longer will load, and clearing the cache doesn't help.",Bandsintown Concerts,Problem Discovery,Feature or Functionality,load|clearing cache,,,,
39,All I get for my location is a neverending loading icon,Bandsintown Concerts,Problem Discovery,Feature or Functionality,"get for my location,load icon",,,,
40,This app gives me all of the latest info on shows all around town.,Bandsintown Concerts,Information Giving,Contents,shows/latest info,,,,
41,App no longer loads.,Bandsintown Concerts,Problem Discovery,Feature or Functionality,no load,,,,
42,Used to be great now just get a spinning thing like it's loading. Alot of people I know have the same problem. Would rate it higher if it actually worked again.,Bandsintown Concerts,Problem Discovery,Feature or Functionality,"load,spinning",,,,
43,Very useful but stops working at times,Bandsintown Concerts,Problem Discovery,App,stops working,,,,
44,Been a great app until it stopped loading recommended/tracked artists,Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality,stop recommended|tracked artists,,,,
45,This app is always down but great when it isn't,Bandsintown Concerts,Information Giving/Problem Discovery,App,app,Feature or Functionality,down,,
46,"I love this app! It's easy to use and have helped me find out about interesting concerts for years! But since the last update (Nov, 27) I haven't been able to use the app. I can open it, but it just won't load anything. Please fix this /:",Bandsintown Concerts,Problem Discovery,Updates/ Versions,update,Feature or Functionality," find out about interesting concerts,fix",,
47,"It makes me feel better reading that it's not my phone, but pisses me off that this app suddenly sucks. All I get is the searching wheel of death. I can't view anything!!",Bandsintown Concerts,Information Giving,App,app,,,,
48,Great when it works but more than half the time or just constantly searches as of there is no internet connection,Bandsintown Concerts,Problem Discovery,Feature or Functionality,searches,Feature or Functionality,internet connection,,
49,This app is the worst. Daily bs messages. Only larger venues.,Bandsintown Concerts,Information Giving,Feature or Functionality,messages,,,,
50,"Changing location apparently broken, no ""OK"" button, going ""back"" doesn't save new location/radius. Blows up your phone with lots of annoying notifications where bands you follow announce a tour where you don't live. I bet everyone who goes to regular gigs and follows a ton of bands just turns that off within a week.",Bandsintown Concerts,Problem Discovery,GUI,button,Feature or Functionality,Changing location ,,
51,Why can't I change the location on the app?? It's so annoying!,Bandsintown Concerts,Information Seeking/Problem Discovery,Feature or Functionality,change the location,,,,
52,"I use this app a couple of months ago to go. Haven't been on it in a while, I opened it up and nothing will load and it won't update my location. The app just won't work anymore, it's constantly loading and I don't see anything. I really really really hope this is fixed soon because I love this app. I even went as far as deleting the app and reinstalling it on my phone and it still doesn't work it's still only loads and I don't see anything. Real big bummer..",Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality,load|update my location,,,,
53,"Forwarded to this site when trying to book Paul Kelly tickets. Answered all t hi e unnecessary question, then. Can't find artist. Uninstall..",Bandsintown Concerts,Information Giving,Contents,artist,Contents,site,,
