,review_text,,,,,大类,小类1,关键词,小类2,关键词,
0,i dont like it i love it!,,,,,,,,,,
1,"Stop slowing the app down, it's getting annoying. Maybe start caring about android users a bit, rather than only focusing on apple plebs.",,,,,Problem Discovery,Improvement,stop slowing,APP,app,
2,i love it so fun and cool,,,,,Other,App,"fun, cool",,,
3,"snapchat randomly started acting out. it's not giving me the option to change the audio voices, not giving me the option to cut out stickers when I take a video. the videos only last up to 8 seconds and it stops by itself!! it doesnt even let me layer filters on each other also doesnt let me add the color filters to videos. doesnt let me post anything either only pictures but not videos whatsoever and it's only happening on my device s9 what the heck please fix thiissss??vid comes out 'pixely 2",,,,,Problem Discovery,Improvement,"fix,stop",Contents,"pictures,videos,auto voices",
4,So far great and greater,,,,,Other,App,great,,,
5,love it wish it had a way we could just send our videos to Facebook also when we make them...,,,,,Feature Request,Improvement,"wish,send videos to Facebook","Feature or
Functionality",send videos to Facebook,
6,"Spectacles no longer connect, i'm unable to pair them",,,,,Problem Discovery,,"connect,unable to",,,
7,It's an good app because it let's you talk to your close friends and FaceTime them and u can post videos and pictures,,,,,,,,,,
8,Snap makes my pictures look horrible.... specially the front camera....,,,,,,,,,,
9,Its so good ? I love it ?,,,,,,,,,,
10,Everything I delete it and download it it says unfortunately snapcha the has stopped. You guys really need to fix the problem.,,,,,,,,,,
11,My snapchat is not recording multiple snaps on android. So lame!!!!!,,,,,,,,,,
12,government spys on ur children,,,,,,,,,,
13,i would like it if i could get my streaks back,,,,,,,,,,
14,as soon as I updated it for the 12/20/18 update it will only let me see 1 snap in a row and make me click on the story to see the next. it also will not let me view my friends stories snapchat plz help and I'll change this to 5 stars,,,,,,,,,,
15,this is the best app ever,,,,,,,,,,
16,"almost always crashes, I have to open it around 5 times for it to want to stay open",,,,,,,,,,
17,bitchhhhh get this app its ? fasho!!!,,,,,,,,,,
18,Why doesn't it allow me to post videos on my story? If you guys could help me with that I would gretly appreciate that!!,,,,,,,,,,
19,some of my memories disappeared after I updated the app.,,,,,,,,,,
20,its good but also not bad...its a big download and i only use it for filters (which are pretty good!),,,,,,,,,,
21,you should really create a timer setting,,,,,,,,,,
22,Issue with my Snapchat... wonderful application to use but I'm facing camera issue with j6 plus and the photos in Snapchat are only getting clicked in live focus mode.,,,,,,,,,,
23,"Calling feature does not have a mute button, its ridiculous to think that an app that has a call feature doesn't have an option to mute yourself",,,,,,,,,,
24,Good on my old phone but not on the one plus 6t. For some reason my camera is always zoomed in and I'm not sure why or how to fix it. Is it a bug or what? I think other users with the one plus 6t have seen a similar problem.,,,,,,,,,,
25,i cant record for longer than ten seconds. its pissing me off,,,,,,,,,,
26,in this app you can also text with your friends. And do a picture and video . this app is very nice and very interested. you'll be happy to download this app i guarantee you.,,,,,,,,,,
27,the app keeps crashing on me..,,,,,,,,,,
28,Really good its amazing and good to use,,,,,,,,,,
29,I feel like people should be able to accept and decline a request to a group chat but it's rude to just join and leave,,,,,,,,,,
30,Ridiculous amounts of ads on their news links. Can't even read the news without the screen shaking around with hundreds of popping ads.,,,,,,,,,,
31,It's fun??,,,,,,,,,,
32,Feel like I'm being unread by my friends. Bring back old update. Cant receive messages from my friends and says to refresh when I am connected to the internet.,,,,,,,,,,
33,i face problems with notification and my voice notes disappear before the receiver could hear them,,,,,,,,,,
34,On android the quality of the camera gets ruined massively,,,,,,,,,,
35,i get to tlk to all my friends from school and tlk to my best friends,,,,,,,,,,
36,It's great just keeps crashing,,,,,,,,,,
37,every time I get on it my phone freeze ??,,,,,,,,,,
38,Gifs don't work :( help,,,,,,,,,,
39,SNAPCHAT IS A VERY NICE APP,,,,,,,,,,
40,Its super fun and i love the filters,,,,,,,,,,
41,it was just amazing ?????,,,,,,,,,,
42,It is ver bad app when i download it the camera came upside down on my tablet please improve please so i can download it back on my tablet ok my tablet is a Hyundai ok thankYou bye love you ???g,,,,,,,,,,
43,I love it.It also helps me contact my mom when I miss her,,,,,,,,,,
44,Bc india ko poor bola..,,,,,,,,,,
45,this app isn't updated,,,,,,,,,,
46,"no matter how many times I update, turning on my location and everything does nothing for my filters.. I have had the same 2 filters for going on 3 months now, and it's annoying because I see so many others sending me snaps with different filters. I can only do fave swap, which it barely ever wants to register a 2nd face, and then the flower veil on the head. I wish they would fix it so I can use it more often.",,,,,,,,,,
47,I loved the app on my old phone but it doesn't work on my new phone. Really disappointed.,,,,,,,,,,
48,"its good, you can call people on it and stuff.",,,,,,,,,,
49,y'all just saved my life thank you for the last update,,,,,,,,,,
50,its kicking me out after a few seconds,,,,,,,,,,
51,"it sucks, but it works",,,,,,,,,,
52,I love this app but for Android users (like myself) it crashes a lot of times for no reason at all reasons like when I I try to look at story's it shows a black screen and goes to the home screen but It does not happen all the time and that is part of the reason why I have not rated it 3 stars also when I try to put a filter it crashes most of the time close to all the time other than that it is a fantastic app and will be using a lot.,,,,,,,,,,
53,Why can't all devices have the same features like snapchat for iphone ? we need to make it equal,,,,,,,,,,
54,the newest updates for the app keeps flashing the snap chat loading screen over and over before finally loading it,,,,,,,,,,
55,I don't even know what to say because I thought it would be just some boring old social media app. But when I used it my head was like BOOOOOOOOOM Jk I'm being way over dramatic but it's a cool app,,,,,,,,,,
56,Snapchat is like the only app i text on.its a really good app. I had the app like for two years. I love it,,,,,,,,,,
57,it is gooooooood!!!!!#?have a good time,,,,,,,,,,
58,Hey. i love this app.?? but i'm having trouble with video snap. Why is the faces too wide When i took a video snap? There's no lag or anything.. is it my phone's problem or the app ? ? ?,,,,,,,,,,
59,Great app.. Only that it takes time to load sometimes,,,,,,,,,,
60,after updating the shutter sound is very annoying can you please make the changes asap.,,,,,,,,,,
61,my phone shuts off when i finish filming videos with music playing on my phone simultaneously (Google Pixel 2),,,,,,,,,,
62,I lost one of my friends they didn't block me and i didn't block them and i permanently lost a friend,,,,,,,,,,
63,"I tried to login to snapchat account on bluestack app on my laptop and it wont work it said: There is a problem connecting to the server please try again, and i keep trying after but it still wont work. I tried reinstalled the app still saying the same message.",,,,,,,,,,
64,Life this app equals life,,,,,,,,,,
65,This is fun because I love slime,,,,,,,,,,
66,Pretty good app for socializing with friends,,,,,,,,,,
67,i love it but there are a few bugs,,,,,,,,,,
68,Snapchat is a fun app you pictures with filters and record yourselves with it make stories and share it all around the world or just to yourself Snapchat is so cool ?.,,,,,,,,,,
69,"I have no idea why snapchat hasn't made it an option for people to block everything business related. I can understand leaving commercials to profit off from but I really don't want to see anything that isn't something a friend posted. Ever since that unsaborable update, I've lost interest in the app since I can't see any friends stories unless I directly message them or they're on my top feed.",,,,,,,,,,
70,I love to take photos,,,,,,,,,,
71,i luv it keep up the good work????,,,,,,,,,,
72,This is the best app ever,,,,,,,,,,
73,"Terrible with android. Not sure who they pay to develop but constantly freezing, glitching and slow.",,,,,,,,,,
74,Great thanks to the person who made this app!!!!!!!!,,,,,,,,,,
75,"My granddaughter alyssa, has snap chat. Witch I myself don't have it but she does and she lives it and with all these different fillters and all these other things . And she keeps in touch with all her old friends.. I just wanna say it's a great app and I love ittttttt.....",,,,,,,,,,
76,It is a great app I can talk to friends back at my hometown when I'm far away,,,,,,,,,,
77,I like it bcs u can catch up with friends but u can't go live,,,,,,,,,,
78,Kenapa Pas Mau Daftar Keluar Sendirii Tolong Benerin,,,,,,,,,,
79,best app ever i get to talk to family friend that are across the world and stuff ?,,,,,,,,,,
80,it's actually really fun to play with,,,,,,,,,,
81,Good????????????????????????????????????????,,,,,,,,,,
82,Every time I would try to text someone my messages would be deleted EVEN WHEN I SAVED IT ???,,,,,,,,,,
83,"Snapchat, I am not happy with this app anymore. I am not able to use the 3normal filters at all. And I'm not able to use any filter if my location is off. Please change the location setting that are forcing me to do this in order to use my filters.           Sincerely, frequent app user.",,,,,,,,,,
84,I'll give you your deserved five stars when I can use a real update with all the fancy features like everyone else! Bet the paying for replays work fine on my HTC One M9 just not the features. ?,,,,,,,,,,
85,my snapchat is not workingt,,,,,,,,,,
86,It is a really good app. The only problem is it takes up loads of space,,,,,,,,,,
87,Can you create a feature where we can change our usernames please? It will be well appreciated! And also can you put back the feature where you can record for more than ten seconds please!!!! Also it takes up way too much space on my device is there anyway to update it without making it take up so much space?,,,,,,,,,,
88,its cool if your friends from school have and u get to contact them,,,,,,,,,,
89,I wish I could set my own notification tone and that it would use my system font.,,,,,,,,,,
90,it loads to slow??,,,,,,,,,,
91,I love the app and i use it all the time. But my only problem is that i can't use gifs. Because if i click on thr gif button it wil not work. I hope you can fix it beacause i realy like the app,,,,,,,,,,
92,very good app to talk to griends,,,,,,,,,,
93,"I have a Motorolla E4 Plus, which can be a bit of a hassle at times. Having the Snapchat app is annoying slow and it freezes all the time. Would highly recommend not downloading the app if you have the same phone model. Other than that its a great app to communicate with friends.",,,,,,,,,,
94,"it's like with every update it gets slower, or there is a new annoyance.My friends section just feels cluttered. It's slow when I open snaps and try to send snaps and it never saves conversations anymore. Plus clearing chats and convos does no take that chat room(dont know what to call it) way or clear ot from friends like it use to this feature if intended was very useful to see.",,,,,,,,,,
95,i love this app cerdit to creaters.,,,,,,,,,,
96,it's a great app i live it but however sometimes it does stop and freezes and u gotta restart it,,,,,,,,,,
97,Aki Romániában lakik és akar egy barátot jel?lj?n be: Robi 1400,,,,,,,,,,
98,???? ???? ???,,,,,,,,,,
99,Very easy way to talk to friends.,,,,,,,,,,
100,runs like bloatware since June 2018. still terrible as of December 2018.,,,,,,,,,,
101,This app is so good all my pictures are lovely Bcus of dis app who created dis app a job well done I love it????,,,,,,,,,,
102,you guys suck so bad i do not i like snapchat,,,,,,,,,,
103,"sorry but is not working my snapchat is freezzing , every time I do a video and this happen to a lot of people who use android ,I am really upset about this",,,,,,,,,,
104,HI CREATOR! I am a Filipino but I am on a vacation here in Norway now. I had this culture shock not because of the norwegian culture literally but by the app they are using here for fast communication - SNAPCHAT! They use your app here so much. I had Snapchat back in the Philippines but I decided to delete the app because I couldn't use it there and no one uses it really. We use FB MESSENGER instead because we can access the app even with only FREEDATA. We want SNAPCHAT in the Philippines.,,,,,,,,,,
105,I am going to be out there tomorrow,,,,,,,,,,
106,every time i open the app it closes it self,,,,,,,,,,
107,the best app in the world,,,,,,,,,,
108,its a really cool app you can chat with people and you can take pics with cute and funny filters and its FREE,,,,,,,,,,
109,"Progressively gets slower, laggier, and useable. Also the UI is getting worse. Really nothing moving in a positive direction.",,,,,,,,,,
110,Its awesome to connect with people that u don't see every day??,,,,,,,,,,
111,"Worst chatting app ever. We cannot send fixed messages or snaps to anyone. Everything is going to be deleted after a certain time. For keeping the messages forever, we must tap on each and every message separately. Time taking and time waste...",,,,,,,,,,
112,now I got it to work snapchat is amazing,,,,,,,,,,
113,This is a really good app. I have been have a little bit of a problem though. It has been freezing up on me and kicking me off. It does not happen all the time so I would still recommend downloading this app,,,,,,,,,,
114,I literally use this app everyday and everywhere,,,,,,,,,,
115,:) ;) Gooood!!!!!!!? ??,,,,,,,,,,
116,i love how this app works,,,,,,,,,,
117,I love snapchat it's so easy to work and a great waste of my battery and data?,,,,,,,,,,
118,keeps logging me out every time,,,,,,,,,,
119,This is by far my favorite social media app i use. I would give 5 stars but it is a little glitchy sometimes.,,,,,,,,,,
120,When are you adding the reply button to pictures for android?,,,,,,,,,,
121,"great app. you can call, message, and contact your friends very easily, and the filters create great fun for all.",,,,,,,,,,
122,i want snapchat i neeed but idont now how i upradge new version,,,,,,,,,,
123,i want the old fonts back! please and thank you,,,,,,,,,,
124,"The app just doesnt work properly on the Pixel 3XL. Performance wise, its the slowest app on my phone to the point of being barely usable.",,,,,,,,,,
125,i love it because its my life,,,,,,,,,,
126,It won't let me send out snaps,,,,,,,,,,
127,The best app ever. Thanks snap for living the life,,,,,,,,,,
128,my snaochat is so wried it does not want to work and i open it and it closes right on my face so i cant use it that is sad noooooooo snapchatttttttttt!!!!!!!!!!,,,,,,,,,,
129,Just when I was starting to be okay with the update; all of my stickers are gone!,,,,,,,,,,
130,keeps closing the app on me as soon as i click on the app please fix asap,,,,,,,,,,
131,in Love with the bitmoji feature. Pics always come out good. Super easy to use.. fun to connect with friends and i can easily sync to my other social media profiles for more sharing options (( fully customizeable privacy settings )),,,,,,,,,,
132,I love this app ??,,,,,,,,,,
133,keeps shutting down when i try to take photo or video ?. disappointing,,,,,,,,,,
134,congratulations to Instagram for realizing it made a mistake and did what snapchat refused to do... it changed itself back to how it was! THAT IS GOOD BUSINESS SNAPCHAT. yalls should call Instagram and ask for advice on customer service!,,,,,,,,,,
135,i want my Soft wash filter back ? i seriously want it back i only use that one filter and i can't find it !!!,,,,,,,,,,
136,love snapchat its the best,,,,,,,,,,
137,Received a creepy notification that snapchat was using my camera when I was not in the app.  I recommend other users check their app permissions to avoid the same creepy notification.  I've uninstalled snapchat due to this.,,,,,,,,,,
138,my snap all of a sudden doesn't let me take pics its just a black screen and i cant open snaps getting sent to me. the picture is all black all the time. i can only send messages on snap. please fix. im upset i lost all my streaks due to this .,,,,,,,,,,
139,"You kicked me out of the beta program after being one of the first users. Now its bugged and wont work at all, it messes up my videos. It's just becoming annoying now. 12/28/18 it's been a while now. still bugged. still messes up videos despite my efforts. is the beta program even optional anymore?",,,,,,,,,,
140,gotta close and open snap chat because it fails to send snaps on galaxy note 8 group messages.,,,,,,,,,,
141,I KEEP TRYING TO OPEN MY SNAPCHAT AND ITS NOT RESPONDING,,,,,,,,,,
142,As an Android user I'm tired of having the ugly Android emoji stickers and icons. Can you finally fix this? It's been like the last couple of years that they've been like this.,,,,,,,,,,
143,Love the filters just one problem takes up storage and takes a lot of battery also hate the new updates,,,,,,,,,,
144,?????????,,,,,,,,,,
145,"It's nice, really nice",,,,,,,,,,
146,give android's the same upgrade that iPhones got,,,,,,,,,,
147,"i realy like this app,but i must log in or sign up,i hate that!!!????",,,,,,,,,,
148,does nothing but crash after one of the recent updates,,,,,,,,,,
149,it was ok i like the filters it varies with your looks as for me im already cute it makes me cuter LOVED IT,,,,,,,,,,
150,Soooooo prone to crashing its not funny,,,,,,,,,,
151,it's awesome. i mean back then it was for sending nudes but not anymore! so much more to it!,,,,,,,,,,
152,nice app overall but it would be nice if there was an option to delete messages that had been sent but not read yet.otherewise i like it a lot,,,,,,,,,,
153,Too many ads and I dislike seeing their stories. Also 18 minutes of usage took 10% of my battery. redesign your app,,,,,,,,,,
154,This app is really good. I enjoy it alot and it is really useful.,,,,,,,,,,
155,It is amazing app their filters,,,,,,,,,,
156,I Can talk to my family and friends when we ain't together,,,,,,,,,,
157,Overconfident marketing strategy always suffer loss nothing new mate. Poor content of your app never make you rich Poor lad...,,,,,,,,,,
158,"In my old cell, I didn't have the filters, please make it as everyone can have the filters",,,,,,,,,,
159,I can not install this app... Google Play allows me ti install others but not this one ?,,,,,,,,,,
160,This app is so fun but sometimes it has bad quality,,,,,,,,,,
161,Horrible app for Android period.,,,,,,,,,,
162,Corporate trash. What used to be fun is now filthy advertising.,,,,,,,,,,
163,It's a good app but everyone has the long filming thing and I don't and it's on my nerves,,,,,,,,,,
164,Flash is absolutely horrible.,,,,,,,,,,
165,idk why it's not updating and its barring me from accessing the app,,,,,,,,,,
166,i love it its fun and interesting !,,,,,,,,,,
167,The new "update" sucks. I was wrong. It's fine!,,,,,,,,,,
168,Its eats up battery life faster than any of my apps. Which is really annoying. Not to mention Snapchat loves to quit at random times. Or stop responding. But other than that I like the filters and the ability to talk to my friends.,,,,,,,,,,
169,"I like this app, it let's me talk to many of my friends, it's just that now if I try to use snapchat it crashes on me",,,,,,,,,,
170,"Terrible. Super slow, messages fail to send on good internet connection, and bad UI.",,,,,,,,,,
171,It's not working for the new android 8.0 update. I can't see any stories or any feed without it just being a black loading screen. This app was working completely fine before the new update this morning. I'm hoping they're fixing this problem very soon.,,,,,,,,,,
172,its pretty good its just when you dont have internet access its sucks so when you want to post or take a picture you cant,,,,,,,,,,
173,Please fix the bugs.,,,,,,,,,,
174,this app is going down hill not working properly constanlylh please fix this. my friend emojis disappear my snapchat camera glitches too,,,,,,,,,,
175,I love this app it is very useful and it's fun because it has many filters and you can chat and call with your friends!,,,,,,,,,,
176,Can't log in... Keeps saying server timed out please try again.... What should I do?,,,,,,,,,,
177,picture has a few second delay before capturing and it makes it very difficult to get a good picture,,,,,,,,,,
178,i think this app is great and i love how u can take pictures with a differant face and its easy to text freinds and i think its great,,,,,,,,,,
179,i love this and i like this,,,,,,,,,,
180,I love this appppppp???,,,,,,,,,,
181,Its great amazing i love d features,,,,,,,,,,
182,it's always hanging why,,,,,,,,,,
183,"This app randomly decides when it wants to work depending on the device, they have a forum that tells you the solution to the problem is to break any warranty by unrooting your mobile, but there is no guarantee that will work either my phone is ruined now thanks to this company.",,,,,,,,,,
184,it was good enough slanks,,,,,,,,,,
185,I think you should add the feature of friends last seen,,,,,,,,,,
186,flower crown is missing in this apps???,,,,,,,,,,
187,it amazing i like it,,,,,,,,,,
188,I cant sign in I have an account but it wont let me access it,,,,,,,,,,
189,"great easy to use, good way to connect with people",,,,,,,,,,
190,have to close and reopen the app to get things to send or load frequently,,,,,,,,,,
191,Increase the sharpness of the camera,,,,,,,,,,
192,ohhh my gash this is so amasing,,,,,,,,,,
193,i love this app it has nice filters,,,,,,,,,,
194,Unoptimized and buggy. Nearly impossible to send snaps because of how slow everything runs.,,,,,,,,,,
195,It's good and nice,,,,,,,,,,
196,The app keeps shutting down on me. I updated it and I also restarted my phone three times and it still shuts down on me. I will give it five stars when it gets fixed,,,,,,,,,,
197,it cool ????????,,,,,,,,,,
198,the videos keep crashing on Huawei p20 pro,,,,,,,,,,
199,this app id really fun,,,,,,,,,,
200,je sais pas comment quitter le mode alpha pour android,,,,,,,,,,
201,I love this app???,,,,,,,,,,
202,It's ok but on my Samsung Galaxy S9 I can't activate the shutter sound for the camera but it shouldn't annoy me,,,,,,,,,,
203,how do you install it if its editors choice,,,,,,,,,,
204,single star from poor country,,,,,,,,,,
205,great app i love the cutting tool and the filters no ads,,,,,,,,,,
206,But it doesnt update me with all the filters on time,,,,,,,,,,
207,this a good way to talk to your friends,,,,,,,,,,
208,"This app is a really nice, especially for those who can't call or text on there device.My only complaint is that when you're using the calling features you have to stay on that chat to keep the call going and if you turn off your phone the call quality gets bad.",,,,,,,,,,
209,i love it its fun you can chat with friends view other peoples stories and you can use cool filters?,,,,,,,,,,
210,"I like Snapchat it has good filters, a good way to talk, but with that said it is constantly glitching, kicks me out I have to uninstall it and install it again just so it'll start working then it glitches out again",,,,,,,,,,
211,New update is not nice previous one was the best. Please bring back the previous one.,,,,,,,,,,
212,It's so laggy I can barely use it,,,,,,,,,,
213,Why did I get a year end story and then was unable to view it? Why would you send me the story and only allow me to view three snaps then push it off of my available stories in memories? I've been looking forward to seeing how my year in memories would be edited and I find it frustrating that not only does your website not allow me to inquire about this but I also have no way of creating one myself. Give me my 2018 flashback back.,,,,,,,,,,
214,great i wish the filters would change more,,,,,,,,,,
215,crashes when I try to save a video,,,,,,,,,,
216,its a good app but the camera needs to be fixed,,,,,,,,,,
217,i cant use your app. it is constantly freezing on my phone if i decide to wait it takes at least 10 minutes for it to load the filters and im lucky if i get all of them. it used to work well but now it SUCKS!!!!,,,,,,,,,,
218,it wont let me log in,,,,,,,,,,
219,"I can not open my memories, also all videos, pictures and messages are all coming through delayed or unable to view and are then lost",,,,,,,,,,
220,"its very fun and amazing to use. its multipurpose for chatting, pictures and other things ?.. i love it!!?",,,,,,,,,,
221,its glitches to much and it's not just me alot of people have the same problem,,,,,,,,,,
222,Snapchat has stopped working almost all the time can't even open the app anymore,,,,,,,,,,
223,"cant use any filters, it will let me put them on but once the pic is taken they disappear, please fix this only seems to affect Android and only happening since last update",,,,,,,,,,
